country,subnational1,driver,year,tree_cover_loss_ha
Indonesia,Bangka Belitung,Wildfire,2007,391
Indonesia,Bangka Belitung,Hard commodities,2008,785
Indonesia,Bangka Belitung,Logging,2008,18
Indonesia,Bangka Belitung,Other natural disturbances,2008,4
Indonesia,Bangka Belitung,Permanent agriculture,2008,21402
Indonesia,Bangka Belitung,Settlements & Infrastructure,2008,174
Indonesia,Bangka Belitung,Shifting cultivation,2008,59
Indonesia,Bangka Belitung,Wildfire,2008,233
Indonesia,Bangka Belitung,Hard commodities,2009,2850
Indonesia,Bangka Belitung,Logging,2009,74
Indonesia,Bangka Belitung,Other natural disturbances,2009,64
Indonesia,Bangka Belitung,Permanent agriculture,2009,59565
Indonesia,Bangka Belitung,Settlements & Infrastructure,2009,457
Indonesia,Bangka Belitung,Shifting cultivation,2009,262
Indonesia,Bangka Belitung,Wildfire,2009,614
Indonesia,Bangka Belitung,Hard commodities,2010,873
Indonesia,Bangka Belitung,Logging,2010,12
Indonesia,Bangka Belitung,Other natural disturbances,2010,6
Indonesia,Bangka Belitung,Permanent agriculture,2010,21921
Indonesia,Bangka Belitung,Settlements & Infrastructure,2010,146
Indonesia,Bangka Belitung,Shifting cultivation,2010,65
Indonesia,Bangka Belitung,Wildfire,2010,163
Indonesia,Bangka Belitung,Hard commodities,2011,1868
Indonesia,Bangka Belitung,Logging,2011,23
Indonesia,Bangka Belitung,Other natural disturbances,2011,22
Indonesia,Bangka Belitung,Permanent agriculture,2011,29940
Indonesia,Bangka Belitung,Settlements & Infrastructure,2011,269
Indonesia,Bangka Belitung,Shifting cultivation,2011,95
Indonesia,Bangka Belitung,Wildfire,2011,180
Indonesia,Bangka Belitung,Hard commodities,2012,1913
Indonesia,Bangka Belitung,Logging,2012,73
Indonesia,Bangka Belitung,Other natural disturbances,2012,51
Indonesia,Bangka Belitung,Permanent agriculture,2012,36291
Indonesia,Bangka Belitung,Settlements & Infrastructure,2012,385
Indonesia,Bangka Belitung,Shifting cultivation,2012,166
Indonesia,Bangka Belitung,Wildfire,2012,563
Indonesia,Bangka Belitung,Hard commodities,2013,490
Indonesia,Bangka Belitung,Logging,2013,33
Indonesia,Bangka Belitung,Other natural disturbances,2013,3
Indonesia,Bangka Belitung,Permanent agriculture,2013,16707
Indonesia,Bangka Belitung,Settlements & Infrastructure,2013,70
Indonesia,Bangka Belitung,Shifting cultivation,2013,104
Indonesia,Bangka Belitung,Wildfire,2013,167
Indonesia,Bangka Belitung,Hard commodities,2014,1089
Indonesia,Bangka Belitung,Logging,2014,97
Indonesia,Bangka Belitung,Other natural disturbances,2014,79
Indonesia,Bangka Belitung,Permanent agriculture,2014,38669
Indonesia,Bangka Belitung,Settlements & Infrastructure,2014,295
Indonesia,Bangka Belitung,Shifting cultivation,2014,260
Indonesia,Bangka Belitung,Wildfire,2014,749
Indonesia,Bangka Belitung,Hard commodities,2015,1170
Indonesia,Bangka Belitung,Logging,2015,125
Indonesia,Bangka Belitung,Other natural disturbances,2015,102
Indonesia,Bangka Belitung,Permanent agriculture,2015,36914
Indonesia,Bangka Belitung,Settlements & Infrastructure,2015,247
Indonesia,Bangka Belitung,Shifting cultivation,2015,351
Indonesia,Bangka Belitung,Wildfire,2015,2367
Indonesia,Bangka Belitung,Hard commodities,2016,1207
Indonesia,Bangka Belitung,Logging,2016,165
Indonesia,Bangka Belitung,Other natural disturbances,2016,211
Indonesia,Bangka Belitung,Permanent agriculture,2016,41842
Indonesia,Bangka Belitung,Settlements & Infrastructure,2016,173
Indonesia,Bangka Belitung,Shifting cultivation,2016,480
Indonesia,Bangka Belitung,Wildfire,2016,14114
Indonesia,Bangka Belitung,Hard commodities,2017,747
Indonesia,Bangka Belitung,Logging,2017,139
Indonesia,Bangka Belitung,Other natural disturbances,2017,81
Indonesia,Bangka Belitung,Permanent agriculture,2017,23538
Indonesia,Bangka Belitung,Settlements & Infrastructure,2017,142
Indonesia,Bangka Belitung,Shifting cultivation,2017,304
Indonesia,Bangka Belitung,Wildfire,2017,602
Indonesia,Bangka Belitung,Hard commodities,2018,659
Indonesia,Bangka Belitung,Logging,2018,56
Indonesia,Bangka Belitung,Other natural disturbances,2018,53
Indonesia,Bangka Belitung,Permanent agriculture,2018,20988
Indonesia,Bangka Belitung,Settlements & Infrastructure,2018,122
Indonesia,Bangka Belitung,Shifting cultivation,2018,145
Indonesia,Bangka Belitung,Wildfire,2018,401
Indonesia,Bangka Belitung,Hard commodities,2019,1043
Indonesia,Bangka Belitung,Logging,2019,53
Indonesia,Bangka Belitung,Other natural disturbances,2019,16
Indonesia,Bangka Belitung,Permanent agriculture,2019,23601
Indonesia,Bangka Belitung,Settlements & Infrastructure,2019,195
Indonesia,Bangka Belitung,Shifting cultivation,2019,117
Indonesia,Bangka Belitung,Wildfire,2019,502
Indonesia,Bangka Belitung,Hard commodities,2020,838
Indonesia,Bangka Belitung,Logging,2020,75
Indonesia,Bangka Belitung,Other natural disturbances,2020,48
Indonesia,Bangka Belitung,Permanent agriculture,2020,22804
Indonesia,Bangka Belitung,Settlements & Infrastructure,2020,132
Indonesia,Bangka Belitung,Shifting cultivation,2020,93
Indonesia,Bangka Belitung,Wildfire,2020,636
Indonesia,Bangka Belitung,Hard commodities,2021,843
Indonesia,Bangka Belitung,Logging,2021,60
Indonesia,Bangka Belitung,Other natural disturbances,2021,50
Indonesia,Bangka Belitung,Permanent agriculture,2021,29478
Indonesia,Bangka Belitung,Settlements & Infrastructure,2021,136
Indonesia,Bangka Belitung,Shifting cultivation,2021,92
Indonesia,Bangka Belitung,Wildfire,2021,343
Indonesia,Bangka Belitung,Hard commodities,2022,883
Indonesia,Bangka Belitung,Logging,2022,71
Indonesia,Bangka Belitung,Other natural disturbances,2022,33
Indonesia,Bangka Belitung,Permanent agriculture,2022,32510
Indonesia,Bangka Belitung,Settlements & Infrastructure,2022,113
