country,subnational1,year,gross_emissions_Mg_CO2e
Indonesia,Kalimantan Tengah,2013,76472112
Indonesia,Kalimantan Timur,2013,106224194
Indonesia,Kalimantan Utara,2013,30809769
Indonesia,Kepulauan Riau,2013,2937730
Indonesia,Lampung,2013,2884743
Indonesia,Maluku,2013,3357380
Indonesia,Maluku Utara,2013,5359796
Indonesia,Nusa Tenggara Barat,2013,809878
Indonesia,Nusa Tenggara Timur,2013,998397
Indonesia,Papua,2013,34278328
Indonesia,Papua Barat,2013,6568747
Indonesia,Riau,2013,149930190
Indonesia,Sulawesi Barat,2013,5495580
Indonesia,Sulawesi Selatan,2013,5645549
Indonesia,Sulawesi Tengah,2013,21368032
Indonesia,Sulawesi Tenggara,2013,10225910
Indonesia,Sulawesi Utara,2013,1211736
Indonesia,Sumatera Barat,2013,15901145
Indonesia,Sumatera Selatan,2013,81654614
Indonesia,Sumatera Utara,2013,24810513
Indonesia,Yogyakarta,2013,13322
Indonesia,Aceh,2014,36918756
Indonesia,Bali,2014,509149
Indonesia,Bangka Belitung,2014,22295784
Indonesia,Banten,2014,1398744
Indonesia,Bengkulu,2014,14016343
Indonesia,Gorontalo,2014,8003180
Indonesia,Jakarta Raya,2014,0
Indonesia,Jambi,2014,57553290
Indonesia,Jawa Barat,2014,2345990
Indonesia,Jawa Tengah,2014,1794516
Indonesia,Jawa Timur,2014,4130280
Indonesia,Kalimantan Barat,2014,225347421
Indonesia,Kalimantan Selatan,2014,45239740
Indonesia,Kalimantan Tengah,2014,147714856
Indonesia,Kalimantan Timur,2014,148531847
Indonesia,Kalimantan Utara,2014,55668989
Indonesia,Kepulauan Riau,2014,10754396
Indonesia,Lampung,2014,6500739
Indonesia,Maluku,2014,10198376
Indonesia,Maluku Utara,2014,14133567
Indonesia,Nusa Tenggara Barat,2014,3765719
Indonesia,Nusa Tenggara Timur,2014,4306143
Indonesia,Papua,2014,49572204
Indonesia,Papua Barat,2014,14617224
Indonesia,Riau,2014,289110623
Indonesia,Sulawesi Barat,2014,9439967
Indonesia,Sulawesi Selatan,2014,14111180
Indonesia,Sulawesi Tengah,2014,32080700
Indonesia,Sulawesi Tenggara,2014,25373740
Indonesia,Sulawesi Utara,2014,4867275
Indonesia,Sumatera Barat,2014,19265804
Indonesia,Sumatera Selatan,2014,115740447
Indonesia,Sumatera Utara,2014,44352975
Indonesia,Yogyakarta,2014,29299
Indonesia,Aceh,2015,20495661
Indonesia,Bali,2015,76700
Indonesia,Bangka Belitung,2015,22759615
Indonesia,Banten,2015,1649041
Indonesia,Bengkulu,2015,14404810
Indonesia,Gorontalo,2015,9465974
Indonesia,Jakarta Raya,2015,59
Indonesia,Jambi,2015,43249343
Indonesia,Jawa Barat,2015,2152615
Indonesia,Jawa Tengah,2015,1131362
Indonesia,Jawa Timur,2015,1743052
Indonesia,Kalimantan Barat,2015,205727988
Indonesia,Kalimantan Selatan,2015,53514625
Indonesia,Kalimantan Tengah,2015,176386775
Indonesia,Kalimantan Timur,2015,129620041
Indonesia,Kalimantan Utara,2015,47974313
Indonesia,Kepulauan Riau,2015,3247917
Indonesia,Lampung,2015,8275125
Indonesia,Maluku,2015,29744780
Indonesia,Maluku Utara,2015,32259683
Indonesia,Nusa Tenggara Barat,2015,2382673
Indonesia,Nusa Tenggara Timur,2015,3515103
Indonesia,Papua,2015,65229132
Indonesia,Papua Barat,2015,36594061
Indonesia,Riau,2015,67240188
Indonesia,Sulawesi Barat,2015,9243434
Indonesia,Sulawesi Selatan,2015,18645019
Indonesia,Sulawesi Tengah,2015,57554215
Indonesia,Sulawesi Tenggara,2015,28617745
Indonesia,Sulawesi Utara,2015,10897491
Indonesia,Sumatera Barat,2015,14461279
Indonesia,Sumatera Selatan,2015,140654094
Indonesia,Sumatera Utara,2015,27508224
Indonesia,Yogyakarta,2015,22203
Indonesia,Aceh,2016,29716299
Indonesia,Bali,2016,96564
Indonesia,Bangka Belitung,2016,37453860
Indonesia,Banten,2016,1165514
Indonesia,Bengkulu,2016,17040945
Indonesia,Gorontalo,2016,7379686
Indonesia,Jakarta Raya,2016,0
Indonesia,Jambi,2016,134517562
Indonesia,Jawa Barat,2016,2326849
Indonesia,Jawa Tengah,2016,1487659
Indonesia,Jawa Timur,2016,1961166
Indonesia,Kalimantan Barat,2016,185486999
Indonesia,Kalimantan Selatan,2016,43354957
Indonesia,Kalimantan Tengah,2016,495155592
Indonesia,Kalimantan Timur,2016,201137810
Indonesia,Kalimantan Utara,2016,28443432
Indonesia,Kepulauan Riau,2016,6720812
Indonesia,Lampung,2016,9918759
Indonesia,Maluku,2016,17226121
Indonesia,Maluku Utara,2016,16728752
