country,subnational1,threshold,year,tree_cover_loss_ha
Indonesia,Sumatera Utara,30,2013,53253
Indonesia,Yogyakarta,30,2013,27
Indonesia,Aceh,30,2014,58555
Indonesia,Bali,30,2014,908
Indonesia,Bangka Belitung,30,2014,41246
Indonesia,Banten,30,2014,2275
Indonesia,Bengkulu,30,2014,20320
Indonesia,Gorontalo,30,2014,10353
Indonesia,Jakarta Raya,30,2014,0
Indonesia,Jambi,30,2014,77432
Indonesia,Jawa Barat,30,2014,3758
Indonesia,Jawa Tengah,30,2014,2883
Indonesia,Jawa Timur,30,2014,6769
Indonesia,Kalimantan Barat,30,2014,291475
Indonesia,Kalimantan Selatan,30,2014,66372
Indonesia,Kalimantan Tengah,30,2014,197214
Indonesia,Kalimantan Timur,30,2014,211485
Indonesia,Kalimantan Utara,30,2014,59037
Indonesia,Kepulauan Riau,30,2014,19230
Indonesia,Lampung,30,2014,11365
Indonesia,Maluku,30,2014,15223
Indonesia,Maluku Utara,30,2014,17979
Indonesia,Nusa Tenggara Barat,30,2014,7148
Indonesia,Nusa Tenggara Timur,30,2014,9176
Indonesia,Papua,30,2014,58754
Indonesia,Papua Barat,30,2014,17905
Indonesia,Riau,30,2014,282784
Indonesia,Sulawesi Barat,30,2014,14213
Indonesia,Sulawesi Selatan,30,2014,21476
Indonesia,Sulawesi Tengah,30,2014,46763
Indonesia,Sulawesi Tenggara,30,2014,39717
Indonesia,Sulawesi Utara,30,2014,6875
Indonesia,Sumatera Barat,30,2014,30560
Indonesia,Sumatera Selatan,30,2014,159551
Indonesia,Sumatera Utara,30,2014,85503
Indonesia,Yogyakarta,30,2014,58
Indonesia,Aceh,30,2015,33969
Indonesia,Bali,30,2015,132
Indonesia,Bangka Belitung,30,2015,41281
Indonesia,Banten,30,2015,2664
Indonesia,Bengkulu,30,2015,20197
Indonesia,Gorontalo,30,2015,13287
Indonesia,Jakarta Raya,30,2015,0
Indonesia,Jambi,30,2015,60611
Indonesia,Jawa Barat,30,2015,3502
Indonesia,Jawa Tengah,30,2015,1808
Indonesia,Jawa Timur,30,2015,2901
Indonesia,Kalimantan Barat,30,2015,267806
Indonesia,Kalimantan Selatan,30,2015,73379
Indonesia,Kalimantan Tengah,30,2015,213841
Indonesia,Kalimantan Timur,30,2015,183873
Indonesia,Kalimantan Utara,30,2015,47844
Indonesia,Kepulauan Riau,30,2015,5869
Indonesia,Lampung,30,2015,14133
Indonesia,Maluku,30,2015,48979
Indonesia,Maluku Utara,30,2015,45450
Indonesia,Nusa Tenggara Barat,30,2015,4435
Indonesia,Nusa Tenggara Timur,30,2015,7422
Indonesia,Papua,30,2015,82032
Indonesia,Papua Barat,30,2015,42462
Indonesia,Riau,30,2015,90762
Indonesia,Sulawesi Barat,30,2015,14055
Indonesia,Sulawesi Selatan,30,2015,28081
Indonesia,Sulawesi Tengah,30,2015,91932
